LocationName,Category,Latitude,Longitude,PartOf
Melbourne,City,-37.8142176,144.9631608,VIC
Brisbane,City,-27.4689682,153.0234991,QLD
Perth,City,-31.9558964,115.8605801,WA
Darwin,City,-12.46044,130.8410469,NT
Alice Springs,City,-23.6983884,133.8812885,NT
Ballarat,City,-37.5623025,143.8605649,VIC
Canberra,Capital,-35.2975906,149.1012676,ACT
Hobart,City,-42.893851,147.27208577170381,TAS
Hobart Town,City,-42.893851,147.27208577170381,TAS
Adelaide,City,-34.9281805,138.5999312,SA
Sydney,City,-33.8698439,151.2082848,NSW
New South Wales,State,-33.8698439,151.2082848,Australia
Victoria,State,-37.8142176, 144.9631608,Australia
Queensland,State,-27.4689682, 153.0234991,Australia
Tasmania,State,-42.893851,147.27208577170381,Australia
Northern Territory,State,-23.6983884,133.8812885,Australia
Abuja,Capital,7.533333,9.083333333,Nigeria
Accra,Capital,-0.216667,5.55,Ghana
Adamstown,Capital,-130.083333,-25.06666667,Pitcairn Islands
Addis Ababa,Capital,38.7,9.033333333,Ethiopia
Aegina,Capital,23.5014213,37.7408815,Greece
Afghanistan,Country,69.183333,34.51666667,Asia
Aland Islands,Country,19.9,60.116667,Europe
Albania,Country,19.816667,41.31666667,Europe
Algeria,Country,3.05,36.75,Africa
Algiers,Capital,3.05,36.75,Algeria
Alofi,Capital,-169.916667,-19.01666667,Niue
Amarapura,Capital,96.0493896,21.9038842,Myanmar
American Samoa,Country,-170.7,-14.26666667,Australia
Amman,Capital,35.933333,31.95,Jordan
Amsterdam,Capital,4.916667,52.35,Netherlands
Andorra,Country,1.516667,42.5,Europe
Andorra la Vella,Capital,1.516667,42.5,Andorra
Anecho,Capital,,,Togo
Angola,Country,13.216667,-8.833333333,Africa
Anguilla,Country,-63.05,18.21666667,North America
Ankara,Capital,32.866667,39.93333333,Turkey
Antananarivo,Capital,47.516667,-18.91666667,Madagascar
Antarctica,Country,0,0,Antarctica
Antigua and Barbuda,Country,-61.85,17.11666667,North America
Apia,Capital,-171.766667,-13.81666667,Samoa
Argentina,Country,-58.666667,-34.58333333,South America
Armenia,Country,44.5,40.16666667,Europe
Aruba,Country,-70.033333,12.51666667,North America
Ashgabat,Capital,58.383333,37.95,Turkmenistan
Asmara,Capital,38.933333,15.33333333,Eritrea
Astana,Capital,71.416667,51.16666667,Kazakhstan
Asuncion,Capital,-57.666667,-25.26666667,Paraguay
Atafu,Capital,-171.833333,-9.166667,Tokelau
Athens,Capital,23.733333,37.98333333,Greece
Auckland,Capital,174.7644881,-36.8508827,New Zealand
Australia,Country,149.133333,-35.26666667,Australia
Austria,Country,16.366667,48.2,Europe
Avarua,Capital,-159.766667,-21.2,Cook Islands
Azerbaijan,Country,49.866667,40.38333333,Europe
Baghdad,Capital,44.4,33.33333333,Iraq
Bahamas,Country,-77.35,25.08333333,North America
Bahrain,Country,50.566667,26.23333333,Asia
Baku,Capital,49.866667,40.38333333,Azerbaijan
Bamako,Capital,-8,12.65,Mali
Bandar Seri Begawan,Capital,114.933333,4.883333333,Brunei Darussalam
Bangkok,Capital,100.516667,13.75,Thailand
Bangladesh,Country,90.4,23.71666667,Asia
Bangui,Capital,18.583333,4.366666667,Central African Republic
Banjul,Capital,-16.566667,13.45,The Gambia
Barbados,Country,-59.616667,13.1,North America
Basseterre,Capital,-62.716667,17.3,Saint Kitts and Nevis
Beijing,Capital,116.383333,39.91666667,China
Beirut,Capital,35.5,33.86666667,Lebanon
Belarus,Country,27.566667,53.9,Europe
Belgium,Country,4.333333,50.83333333,Europe
Belgrade,Capital,20.5,44.83333333,Serbia
Belize,Country,-88.766667,17.25,Central America
Belmopan,Capital,-88.766667,17.25,Belize
Benin,Country,2.616667,6.483333333,Africa
Berlin,Capital,13.404954,52.5200066,Germany
Bermuda,Country,-64.783333,32.28333333,North America
Bern,Capital,7.466667,46.91666667,Switzerland
Bhutan,Country,89.633333,27.46666667,Asia
Bishkek,Capital,74.6,42.86666667,Kyrgyzstan
Bissau,Capital,-15.583333,11.85,Guinea-Bissau
Bogota,Capital,-74.083333,4.6,Colombia
Bolama,Capital,-15.4800382,11.5770712,Guinea-Bissau
Bolivia,Country,-68.15,-16.5,South America
Boma,Capital,,,"Congo, Democratic Republic of the"
Bosnia,Country,18.416667,43.86666667,Europe
Botswana,Country,25.9,-24.63333333,Africa
Brasilia,Capital,-47.916667,-15.78333333,Brazil
Bratislava,Capital,17.116667,48.15,Slovakia
Braunschweig ,Capital,10.5267696,52.2688736,Germany
Brazil,Country,-47.916667,-15.78333333,South America
Brazzaville,Capital,15.283333,-4.25,Republic of Congo
Bridgetown,Capital,-59.616667,13.1,Barbados
British Indian Ocean Territory,Country,72.4,-7.3,Africa
British Virgin Islands,Country,-64.616667,18.41666667,North America
Brunei Darussalam,Country,114.933333,4.883333333,Asia
Brunswick,Capital,10.5267696,52.2688736,Germany
Brussels,Capital,4.333333,50.83333333,Belgium
Bucharest,Capital,26.1025384,44.4267674,Romania
Bückeburg,Capital,9.0521233,52.2592762,Germany
Buda,Capital,19.040235,47.497912,Hungary
Budapest,Capital,19.083333,47.5,Hungary
Buenos Aires,Capital,-58.666667,-34.58333333,Argentina
Bujumbura,Capital,29.35,-3.366666667,Burundi
Bulgaria,Country,23.316667,42.68333333,Europe
Burkina Faso,Country,-1.516667,12.36666667,Africa
Burundi,Country,29.35,-3.366666667,Africa
Cairo,Capital,31.25,30.05,Egypt
Cambodia,Country,104.916667,11.55,Asia
Cameroon,Country,11.516667,3.866666667,Africa
Canada,Country,-75.7,45.41666667,Central America
Canberra,Capital,149.133333,-35.26666667,Australia
Cape Verde,Country,-23.516667,14.91666667,Africa
Caracas,Capital,-66.866667,10.48333333,Venezuela
Castries,Capital,-61,14,Saint Lucia
Cayman Islands,Country,-81.383333,19.3,North America
Central African Republic,Country,18.583333,4.366666667,Africa
Chad,Country,15.033333,12.1,Africa
Chania,Capital,24.0180367,35.5138298,Greece
Charlotte Amalie,Capital,-64.933333,18.35,US Virgin Islands
Chile,Country,-70.666667,-33.45,South America
China,Country,116.383333,39.91666667,Asia
Chisinau,Capital,28.85,47,Moldova
Christiania,Capital,10.7522454,59.9138688,Norway
Christmas Island,Country,105.716667,-10.41666667,Australia
Cocos Islands,Country,96.833333,-12.16666667,Australia
Colombia,Country,-74.083333,4.6,South America
Colombo,Capital,79.833333,6.916666667,Sri Lanka
Comoros,Country,43.233333,-11.7,Africa
Conakry,Capital,-13.7,9.5,Guinea
Cook Islands,Country,-159.766667,-21.2,Australia
Copenhagen,Capital,12.583333,55.66666667,Denmark
Copenhagen,Capital,12.5683371,55.6760968,Denmark
Corfu,Capital,19.9216777,39.6242621,Greece
Costa Rica,Country,-84.083333,9.933333333,Central America
Cote d'Ivoire,Country,-5.266667,6.816666667,Africa
Croatia,Country,16,45.8,Europe
Cuba,Country,-82.35,23.11666667,North America
Curaçao,Country,-68.916667,12.1,North America
Cyprus,Country,33.366667,35.16666667,Europe
Czech Republic,Country,14.466667,50.08333333,Europe
Dakar,Capital,-17.633333,14.73333333,Senegal
Damascus,Capital,36.3,33.5,Syria
Dar es Salaam,Capital,39.283333,-6.8,Tanzania
Darmstadt,Capital,8.6511929,49.8728253,Germany
Democratic Republic of the Congo,Country,15.3,-4.316666667,Africa
Denmark,Country,12.583333,55.66666667,Europe
Dhaka,Capital,90.4,23.71666667,Bangladesh
Diego Garcia,Capital,72.4,-7.3,British Indian Ocean Territory
Dili,Capital,125.6,-8.583333333,Timor-Leste
Djibouti,Capital,43.15,11.58333333,Djibouti
Djibouti,Country,43.15,11.58333333,Africa
Doha,Capital,51.533333,25.28333333,Qatar
Dominica,Country,-61.4,15.3,North America
Dominican Republic,Country,-69.9,18.46666667,North America
Douglas,Capital,-4.483333,54.15,Isle of Man
Dresden,Capital,13.7372621,51.0504088,Germany
Dublin,Capital,-6.233333,53.31666667,Ireland
Dubrovnik,Capital,18.0944238,42.6506606,Croatia
Dushanbe,Capital,68.766667,38.55,Tajikistan
Ecuador,Country,-78.5,-0.216666667,South America
Egypt,Country,31.25,30.05,Africa
El Salvador,Country,-89.2,13.7,Central America
El-Aaiún,Capital,-13.203333,27.153611,Western Sahara
Entebbe,Capital,32.463708,0.0511839,Uganda
Equatorial Guinea,Country,8.783333,3.75,Africa
Eritrea,Country,38.933333,15.33333333,Africa
Estonia,Country,24.716667,59.43333333,Europe
Ethiopia,Country,38.7,9.033333333,Africa
Falkland Islands,Country,-57.85,-51.7,South America
Faroe Islands,Country,-6.766667,62,Europe
Federated States of Micronesia,Country,158.15,6.916666667,Australia
Fiji,Country,178.416667,-18.13333333,Australia
Finland,Country,24.933333,60.16666667,Europe
Florence,Capital,11.2558136,43.7695604,Italy
France,Country,2.333333,48.86666667,Europe
Frankfurt,Capital,8.6821267,50.1109221,Germany
Freetown,Capital,-13.233333,8.483333333,Sierra Leone
French Polynesia,Country,-149.566667,-17.53333333,Australia
French Southern and Antarctic Lands,Country,70.216667,-49.35,Antarctica
Funafuti,Capital,179.216667,-8.516666667,Tuvalu
Gabon,Country,9.45,0.383333333,Africa
Gaborone,Capital,25.9,-24.63333333,Botswana
George Town,Capital,-81.383333,19.3,Cayman Islands
Georgetown,Capital,-58.15,6.8,Guyana
Georgia,Country,44.833333,41.68333333,Europe
Germany,Country,13.4,52.51666667,Europe
Ghana,Country,-0.216667,5.55,Africa
Gibraltar,Capital,-5.35,36.13333333,Gibraltar
Gibraltar,Country,-5.35,36.13333333,Europe
Grand Turk,Capital,-71.133333,21.46666667,Turks and Caicos Islands
Grand-Bassam,Capital,-3.7536663,5.225936,Ivory Coast
Greece,Country,23.733333,37.98333333,Europe
Greenland,Country,-51.75,64.18333333,Central America
Grenada,Country,-61.75,12.05,North America
Guam,Country,144.733333,13.46666667,Australia
Guatemala,Country,-90.516667,14.61666667,Central America
Guatemala City,Capital,-90.516667,14.61666667,Guatemala
Guernsey,Country,-2.533333,49.45,Europe
Guinea,Country,-13.7,9.5,Africa
Guinea-Bissau,Country,-15.583333,11.85,Africa
Gustavia,Capital,-62.85,17.88333333,Saint Barthelemy
Guyana,Country,-58.15,6.8,South America
Hagatna,Capital,144.733333,13.46666667,Guam
Haiti,Country,-72.333333,18.53333333,North America
Hakodate,Capital,140.7290599,41.7686961,Japan
Hamilton,Capital,-64.783333,32.28333333,Bermuda
Hanoi,Capital,105.85,21.03333333,Vietnam
Hanover,Capital,-81.0254145,44.1526004,Germany
Harare,Capital,31.033333,-17.81666667,Zimbabwe
Hargeisa,Capital,44.05,9.55,Somaliland
Havana,Capital,-82.35,23.11666667,Cuba
Heard Island ,Country,0,0,Antarctica
Heian-ky,Capital,135.7681489,35.011564,Japan
Helsinki,Capital,24.933333,60.16666667,Finland
Herzegovina,Country,18.416667,43.86666667,Europe
Honduras,Country,-87.216667,14.1,Central America
Hong Kong,Country,114.177216,22.302711,Asia
Honiara,Capital,159.95,-9.433333333,Solomon Islands
Huế ,Capital,107.5908628,16.4637117,Vietnam
Hungary,Country,19.083333,47.5,Europe
Iceland,Country,-21.95,64.15,Europe
India,Country,77.2,28.6,Asia
Indonesia,Country,106.816667,-6.166666667,Asia
Iran,Country,51.416667,35.7,Asia
Iraq,Country,44.4,33.33333333,Asia
Ireland,Country,-6.233333,53.31666667,Europe
Islamabad,Capital,73.05,33.68333333,Pakistan
Island of Mozambique,Capital,40.7323311,-15.0364493,Mozambique
Isle of Man,Country,-4.483333,54.15,Europe
Israel,Country,35.233333,31.76666667,Asia
Italy,Country,12.483333,41.9,Europe
Jakarta,Capital,106.816667,-6.166666667,Indonesia
Jamaica,Country,-76.8,18,North America
Jamestown,Capital,-5.716667,-15.93333333,Saint Helena
Japan,Country,139.75,35.68333333,Asia
Jassy,Capital,27.6014418,47.1584549,Romania
Jersey,Country,-2.1,49.18333333,Europe
Jerusalem,Capital,35.233333,31.76666667,Israel
Jerusalem,Capital,35.233333,31.76666667,Palestine
Jordan,Country,35.933333,31.95,Asia
Juba,Capital,31.616667,4.85,South Sudan
Kabul,Capital,69.183333,34.51666667,Afghanistan
Kampala,Capital,32.55,0.316666667,Uganda
Kassel,Capital,9.4797461,51.3127114,Germany
Kassel,Capital,9.4797461,51.3127114,Germany
Kathmandu,Capital,85.316667,27.71666667,Nepal
Kazakhstan,Country,71.416667,51.16666667,Asia
Kelmis,Capital,6.0118139,50.7163786,Belgium
Kenya,Country,36.816667,-1.283333333,Africa
Khartoum,Capital,32.533333,15.6,Sudan
Kigali,Capital,30.05,-1.95,Rwanda
King Edward Point,Capital,-36.5,-54.283333,South Georgia and South Sandwich Islands
Kingston,Capital,-76.8,18,Jamaica
Kingston,Capital,167.966667,-29.05,Norfolk Island
Kingstown,Capital,-61.216667,13.13333333,Saint Vincent and the Grenadines
Kinshasa,Capital,15.3,-4.316666667,Democratic Republic of the Congo
Kiribati,Country,169.533333,-0.883333333,Australia
Kosovo,Country,21.166667,42.66666667,Europe
Kuala Lumpur,Capital,101.7,3.166666667,Malaysia
Kukawa,Capital,13.5639377,12.9229652,Nigeria
Kuwait,Country,47.966667,29.36666667,Asia
Kuwait City,Capital,47.966667,29.36666667,Kuwait
Kyiv,Capital,30.516667,50.43333333,Ukraine
Kyoto,Capital,135.7681489,35.011564,Japan
Kyrgyzstan,Country,74.6,42.86666667,Asia
La Paz,Capital,-68.15,-16.5,Bolivia
Laos,Country,102.6,17.96666667,Asia
Latvia,Country,24.1,56.95,Europe
Lebanon,Country,35.5,33.86666667,Asia
Lesotho,Country,27.483333,-29.31666667,Africa
Levuka,Capital,178.8323025,-17.6817232,Fiji
Liberia,Country,-10.8,6.3,Africa
Libreville,Capital,9.45,0.383333333,Gabon
Libya,Country,13.166667,32.88333333,Africa
Liechtenstein,Country,9.516667,47.13333333,Europe
Lilongwe,Capital,33.783333,-13.96666667,Malawi
Lima,Capital,-77.05,-12.05,Peru
Lisbon,Capital,-9.133333,38.71666667,Portugal
Lithuania,Country,25.316667,54.68333333,Europe
Ljubljana,Capital,14.516667,46.05,Slovenia
Lome,Capital,1.216667,6.116666667,Togo
